 #Energy          XX(cm^-1)       YY(cm^-1)      ZZ(cm^-1)       XY(cm^-1)       YZ(cm^-1)       XZ(cm^-1)
 2.451000E-01  4.67539943E+02  4.67539943E+02  2.75133180E+00  1.75659602E+02  0.00000000E+00  0.00000000E+00
 2.501000E-01  4.87684600E+02  4.87684600E+02  2.80745852E+00  1.79243029E+02  0.00000000E+00  0.00000000E+00
 2.551000E-01  5.07824939E+02  5.07824939E+02  2.86358524E+00  1.82826457E+02  0.00000000E+00  0.00000000E+00
 2.601000E-01  5.28790347E+02  5.28790347E+02  2.91971196E+00  1.86409884E+02  0.00000000E+00  0.00000000E+00
 2.651000E-01  5.50607081E+02  5.50607081E+02  2.97583868E+00  1.89993311E+02  0.00000000E+00  0.00000000E+00
 2.701000E-01  5.72403454E+02  5.72403454E+02  3.03196540E+00  1.93576738E+02  0.00000000E+00  0.00000000E+00
 2.751000E-01  5.94611419E+02  5.94611419E+02  3.08800793E+00  1.97160165E+02  0.00000000E+00  0.00000000E+00
 2.801000E-01  6.17692533E+02  6.17692533E+02  3.14413312E+00  2.00743593E+02  0.00000000E+00  0.00000000E+00
 2.851000E-01  6.41199872E+02  6.41199872E+02  3.20025831E+00  2.04327020E+02  0.00000000E+00  0.00000000E+00
 2.901000E-01  6.65129103E+02  6.65129103E+02  3.25638350E+00  2.07910447E+02  0.00000000E+00  0.00000000E+00
 2.951000E-01  6.89482671E+02  6.89482671E+02  3.31250869E+00  2.11493874E+02  0.00000000E+00  0.00000000E+00
 3.001000E-01  7.14259737E+02  7.14259737E+02  3.36863388E+00  2.15077302E+02  0.00000000E+00  0.00000000E+00
 3.051000E-01  7.39958200E+02  7.39958200E+02  3.42475907E+00  2.18660729E+02  0.00000000E+00  0.00000000E+00
 3.101000E-01  7.66094260E+02  7.66094260E+02  3.48078939E+00  2.22244156E+02  0.00000000E+00  0.00000000E+00
 3.151000E-01  7.92148281E+02  7.92148281E+02  3.53691305E+00  2.25827583E+02  0.00000000E+00  0.00000000E+00
 3.201000E-01  8.19671208E+02  8.19671208E+02  3.59303671E+00  2.29411010E+02  0.00000000E+00  0.00000000E+00
 3.251000E-01  8.47109967E+02  8.47109967E+02  3.64916037E+00  2.32994438E+02  0.00000000E+00  0.00000000E+00
 3.301000E-01  8.74977733E+02  8.74977733E+02  3.70528403E+00  2.36577865E+02  0.00000000E+00  0.00000000E+00
 3.351000E-01  9.03828604E+02  9.03828604E+02  3.76140769E+00  2.40161292E+02  0.00000000E+00  0.00000000E+00
 3.401000E-01  9.33126822E+02  9.33126822E+02  5.08990308E+00  2.43744719E+02  0.00000000E+00  0.00000000E+00
 3.451000E-01  9.62866316E+02  9.62866316E+02  5.16473258E+00  2.47328146E+02  0.00000000E+00  0.00000000E+00
 3.501000E-01  9.93050809E+02  9.93050809E+02  5.23956209E+00  2.50911574E+02  0.00000000E+00  0.00000000E+00
 3.551000E-01  1.02425647E+03  1.02425647E+03  5.31439160E+00  2.54495001E+02  0.00000000E+00  0.00000000E+00
 3.601000E-01  1.05592058E+03  1.05592058E+03  5.38922110E+00  2.58078428E+02  0.00000000E+00  0.00000000E+00
 3.651000E-01  1.08804204E+03  1.08804204E+03  5.46390169E+00  2.61661855E+02  0.00000000E+00  0.00000000E+00
 3.701000E-01  1.12061389E+03  1.12061389E+03  5.53872915E+00  2.65245283E+02  0.00000000E+00  0.00000000E+00
