 #Energy          XX(cm^-1)       YY(cm^-1)      ZZ(cm^-1)       XY(cm^-1)       YZ(cm^-1)       XZ(cm^-1)
 2.451000E-01  2.59810422E+02  2.59810422E+02  2.75148180E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 2.501000E-01  2.70698953E+02  2.70698953E+02  2.80761158E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 2.551000E-01  2.82286063E+02  2.82286063E+02  2.86374135E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 2.601000E-01  2.93624191E+02  2.93624191E+02  2.91979154E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 2.651000E-01  3.05181066E+02  3.05181066E+02  2.97591979E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 2.701000E-01  3.17463439E+02  3.17463439E+02  3.03204804E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 2.751000E-01  3.29468223E+02  3.29468223E+02  3.08817629E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 2.801000E-01  3.42216442E+02  3.42216442E+02  3.14430454E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 2.851000E-01  3.54665632E+02  3.54665632E+02  3.20043279E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 2.901000E-01  3.67878493E+02  3.67878493E+02  3.25656104E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 2.951000E-01  3.81329198E+02  3.81326587E+02  3.31259900E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 3.001000E-01  3.95012180E+02  3.95012180E+02  3.36872572E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 3.051000E-01  4.08360392E+02  4.08360392E+02  3.42485244E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 3.101000E-01  4.22505381E+02  4.22505381E+02  4.64130552E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 3.151000E-01  4.36886993E+02  4.36886993E+02  4.71614115E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 3.201000E-01  4.51501970E+02  4.51501970E+02  4.79084618E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 3.251000E-01  4.66353025E+02  4.66353025E+02  4.86567976E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 3.301000E-01  4.82051408E+02  4.82051408E+02  4.94051335E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 3.351000E-01  4.97379692E+02  4.97376300E+02  5.01534693E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 3.401000E-01  5.12936315E+02  5.12936315E+02  5.09018052E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 3.451000E-01  5.28727667E+02  5.28727667E+02  5.16501411E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 3.501000E-01  5.45404575E+02  5.45404575E+02  5.23970488E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 3.551000E-01  5.61670054E+02  5.61666232E+02  5.31453643E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 3.601000E-01  5.78834645E+02  5.78834645E+02  5.38936797E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 3.651000E-01  5.96254875E+02  5.96250822E+02  5.46419952E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 3.701000E-01  6.13227045E+02  6.13227045E+02  5.53903107E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 3.751000E-01  6.31132326E+02  6.31132326E+02  5.61370963E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 3.801000E-01  6.49283901E+02  6.49283901E+02  5.68853913E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 3.851000E-01  6.67681185E+02  6.67681185E+02  5.76336864E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 3.901000E-01  6.86328233E+02  6.86328233E+02  5.83819815E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 3.951000E-01  7.05220039E+02  7.05220039E+02  7.39108310E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 4.001000E-01  7.24360899E+02  7.24355996E+02  7.48461744E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 4.051000E-01  7.43740518E+02  7.43740518E+02  7.57815177E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 4.101000E-01  7.64132304E+02  7.64132304E+02  7.67168611E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 4.151000E-01  7.84011585E+02  7.84011585E+02  7.76500883E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 4.201000E-01  8.04920382E+02  8.04920382E+02  7.85854061E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 4.251000E-01  8.26088763E+02  8.26088763E+02  7.95207240E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 4.301000E-01  8.46715785E+02  8.46715785E+02  8.04560418E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 4.351000E-01  8.68392260E+02  8.68392260E+02  8.13913597E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 4.401000E-01  8.90332245E+02  8.90332245E+02  8.23244341E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 4.451000E-01  9.12529327E+02  9.12529327E+02  8.32597264E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 4.502000E-01  9.35190521E+02  9.35190521E+02  8.42137246E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 4.552000E-01  9.58747764E+02  9.58747764E+02  8.51466969E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 4.602000E-01  9.81730074E+02  9.81730074E+02  8.60819638E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 4.652000E-01  1.00496686E+03  1.00496686E+03  8.70172307E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 4.702000E-01  1.02932964E+03  1.02932964E+03  8.79524975E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
 4.752000E-01  1.05396326E+03  1.05396326E+03  1.06662411E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 4.802000E-01  1.07798403E+03  1.07798403E+03  1.07784700E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 4.852000E-01  1.10315556E+03  1.10314819E+03  1.08906990E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 4.902000E-01  1.12859585E+03  1.12858831E+03  1.10029280E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 4.952000E-01  1.15430408E+03  1.15430408E+03  1.11148541E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 5.002000E-01  1.18120507E+03  1.18120507E+03  1.12270800E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 5.052000E-01  1.20746359E+03  1.20746359E+03  1.13393059E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 5.102000E-01  1.23493123E+03  1.23493123E+03  1.14512198E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 5.152000E-01  1.26172927E+03  1.26172927E+03  1.15634427E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 5.202000E-01  1.28975236E+03  1.28975236E+03  1.16756655E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 5.252000E-01  1.31805624E+03  1.31805624E+03  1.17875673E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 5.302000E-01  1.34664894E+03  1.34664894E+03  1.18997871E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 5.352000E-01  1.37551186E+03  1.37551186E+03  1.20120069E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 5.402000E-01  1.40565824E+03  1.40565824E+03  1.21242266E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 5.452000E-01  1.43509471E+03  1.43509471E+03  1.22361131E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 5.502000E-01  1.46582133E+03  1.46582133E+03  1.44063848E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 5.552000E-01  1.49582850E+03  1.49581863E+03  1.45373043E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 5.602000E-01  1.52713164E+03  1.52713164E+03  1.46678243E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 5.652000E-01  1.55872581E+03  1.55872581E+03  1.47987402E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 5.702000E-01  1.59166888E+03  1.59166888E+03  1.49296562E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 5.752000E-01  1.62386159E+03  1.62386159E+03  1.50601619E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 5.802000E-01  1.65740840E+03  1.65739751E+03  1.51910743E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 5.852000E-01  1.69017432E+03  1.69017432E+03  1.53219867E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 5.902000E-01  1.72432039E+03  1.72432039E+03  1.54524782E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 5.952000E-01  1.75876888E+03  1.75876888E+03  1.55833871E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 6.002000E-01  1.79463062E+03  1.79461888E+03  1.57138679E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 6.052000E-01  1.82968942E+03  1.82968942E+03  1.58447732E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 6.102000E-01  1.86616463E+03  1.86616463E+03  1.59756784E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 6.152000E-01  1.90182899E+03  1.90182899E+03  1.61061451E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 6.202000E-01  1.93892455E+03  1.93892455E+03  1.62370468E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 6.252000E-01  1.97634565E+03  1.97634565E+03  1.87062267E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 6.302000E-01  2.01521700E+03  2.01521700E+03  1.88553152E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 6.352000E-01  2.05325569E+03  2.05325569E+03  1.90049130E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 6.402000E-01  2.09278534E+03  2.09278534E+03  1.91545109E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 6.452000E-01  2.13262638E+03  2.13262638E+03  1.93035831E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 6.502000E-01  2.17279085E+03  2.17279085E+03  1.94531769E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 6.552000E-01  2.21447109E+03  2.21447109E+03  1.96022369E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 6.602000E-01  2.25530152E+03  2.25530152E+03  1.97518266E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 6.652000E-01  2.29764758E+03  2.29764758E+03  1.99014164E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 6.702000E-01  2.34032859E+03  2.34032859E+03  2.00504601E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 6.752000E-01  2.38334319E+03  2.38334319E+03  2.02000458E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
 6.802000E-01  2.42792541E+03  2.42792541E+03  2.03490774E+01  0.00000000E+00  0.00000000E+00  0.00000000E+00
